"DOR","log10_DOR","Rank","TF_names","row.names","MAM","nonMAM","exprDiff","Specificity","regulon_size"
0.57598938123422,-0.239585523024518,130,"ARNT","ARNT(-)",0.356857453760886,0.427717396656699,-0.0708599428958133,0,48
0.573185990930107,-0.241704432608433,131,"ELF2","ELF2(+)",0.036504003196597,-0.018670678632007,0.055174681828604,0,160
0.573058902551434,-0.241800736255432,132,"ZC3H11A","ZC3H11A(+)",0.0246364989309119,-0.0145411059096801,0.039177604840592,0,140
0.561784655739745,-0.250430127040037,133,"PPARG","PPARG(-)",0.0218240347013558,0.123934145636174,-0.102110110934818,0,26
0.561504126382415,-0.250647047846819,134,"MEF2A","MEF2A(-)",0.838404804314799,0.892668201807071,-0.0542633974922722,0.000176166956747102,80
0.535346496659013,-0.271365035029635,135,"CCNT2","CCNT2(-)",-0.237544733526951,-0.279505059359275,0.0419603258323235,0,2
0.532266947149235,-0.273870501921157,136,"MLX","MLX(-)",-0.0109165008037823,-0.0164777267765867,0.00556122597280445,0,98
0.517118935682582,-0.28640955909142,137,"CREB1","CREB1(+)",0.0492812998267069,-0.040939471523804,0.0902207713505109,0,45
0.512067070416947,-0.290673151515798,138,"STAT6","STAT6(-)",-0.267935828898233,-0.120235266884951,-0.147700562013282,0,3
0.511302635676723,-0.291321968554694,139,"IKZF1","IKZF1(+)",0.0140775694623216,-0.0208489243100291,0.0349264937723507,0,82
0.478152199754824,-0.320433841897206,140,"ELF4","ELF4(-)",-0.0548239929825993,0.0456497673735526,-0.100473760356152,0,23
0.466944929289293,-0.330734336384807,141,"NFAT5","NFAT5(-)",0.317658581023676,0.507276877287859,-0.189618296264183,0,3
0.45205546284686,-0.344808278173911,142,"RFX2","RFX2(-)",0.363316802780697,0.438860778900194,-0.0755439761194969,-0.0468217561191743,50
0.435542573417427,-0.36096938716244,143,"CHD1","CHD1(-)",-0.0056226989571954,0.0704558140269819,-0.0760785129841774,0.0652335974974687,17
0.427064307621078,-0.369506723705347,144,"BCL11A","BCL11A(-)",0.426845858406257,0.643938442648092,-0.217092584241834,-0.17397824995389,57
0.426473217771189,-0.370108237039012,145,"IRF8","IRF8(+)",0.0493410825919396,0.0775188676452634,-0.0281777850533239,0,36
0.411183568624572,-0.385964248580532,146,"GABPB1","GABPB1(+)",-0.00349794800663239,-0.0606762609117218,0.0571783129050894,0,23
0.407030341633137,-0.390373215559323,147,"HES1","HES1(+)",-0.129592365893174,0.0148934276867271,-0.144485793579901,-0.168447017302421,12
0.384096206907891,-0.415559981632288,148,"ATF3","ATF3(-)",0.254216027724047,0.341192267832237,-0.0869762401081901,-0.161585175818581,80
0.37708024189307,-0.423566222995113,149,"SNAI1","SNAI1(+)",-0.102326253428073,0.0174110554804407,-0.119737308908513,0,12
0.365488930468623,-0.437125771946052,150,"EP300","EP300(-)",0.62743251042471,0.76760182943024,-0.14016931900553,-0.0169220108887609,56
0.352570864363876,-0.452753579639666,151,"STAT2","STAT2(-)",0.979092041916258,1.0670487168673,-0.0879566749510368,0,14
0.335554705130585,-0.474236667150406,152,"SOX4","SOX4(-)",-0.325846380034878,-0.000289174381046913,-0.325557205653832,0,4
0.334128007556176,-0.476087119042222,153,"CHD2","CHD2(-)",0.857625112393212,0.93476197251462,-0.0771368601214072,0,68
0.326310322192569,-0.486369187933334,154,"ZMIZ1","ZMIZ1(-)",0.387663872022194,0.481220014763798,-0.0935561427416043,-0.122526317705479,127
0.32185941887718,-0.492333777178072,155,"JDP2","JDP2(+)",0.062931513128618,0.141449827714478,-0.0785183145858601,-0.133455511186496,47
0.304291677612797,-0.516709925447501,156,"PRNP","PRNP(+)",0.0427446078538368,0.203352792932072,-0.160608185078236,0,19
